=== HISTORIAL DE ENTRENAMIENTO ===
Fecha inicio: 2026-07-04 00:10:43
Fecha fin: 2026-07-04 02:25:16
Duracion total: 2:14:32.681679
Epocas ejecutadas: 100 / 450
Mejor epoca (modelo guardado, criterio = Dice mas alto): 75
Mejor Dice medio de validacion: 0.874888
Loss de validacion en esa epoca: 0.134979
Modelo guardado en: model_brats.pth

Hiperparametros:
  arquitectura: RadsUNet3D
  features: [32, 64, 128, 256]
  semilla: 42
  learning_rate_inicial: 0.0003
  weight_decay: 1e-05
  pasos_acumulacion: 8
  paciencia_early_stopping: 25
  num_epocas: 450
  criterio_guardado: mejor Dice medio de validacion
  convencion_dice: BraTS (ignore_empty=False)
  dispositivo: cuda

 Epoca |  Loss train |   Loss val |  Dice TC |  Dice WT |  Dice ET | Dice med |         LR | Guardado
     1 |    1.375691 |   1.521349 |   0.0276 |   0.3204 |   0.2909 |   0.2130 |   3.00e-04 | SI
     2 |    1.117706 |   1.425608 |   0.0408 |   0.6289 |   0.4244 |   0.3647 |   3.00e-04 | SI
     3 |    1.002680 |   1.355289 |   0.0445 |   0.7566 |   0.5540 |   0.4517 |   3.00e-04 | SI
     4 |    0.925086 |   1.298783 |   0.0584 |   0.7506 |   0.5410 |   0.4500 |   3.00e-04 | 
     5 |    0.866828 |   1.249543 |   0.0745 |   0.7508 |   0.6272 |   0.4842 |   3.00e-04 | SI
     6 |    0.801417 |   1.215430 |   0.1014 |   0.8308 |   0.6849 |   0.5390 |   3.00e-04 | SI
     7 |    0.755223 |   1.167294 |   0.1544 |   0.8311 |   0.7083 |   0.5646 |   3.00e-04 | SI
     8 |    0.716946 |   1.128613 |   0.2029 |   0.8492 |   0.6638 |   0.5720 |   3.00e-04 | SI
     9 |    0.680441 |   1.086216 |   0.3164 |   0.7639 |   0.6443 |   0.5749 |   3.00e-04 | SI
    10 |    0.657175 |   1.048183 |   0.4715 |   0.8552 |   0.7035 |   0.6767 |   3.00e-04 | SI
    11 |    0.618241 |   1.007714 |   0.5821 |   0.8467 |   0.7110 |   0.7133 |   3.00e-04 | SI
    12 |    0.590087 |   0.976130 |   0.5546 |   0.7832 |   0.6621 |   0.6666 |   3.00e-04 | 
    13 |    0.577347 |   0.932415 |   0.6199 |   0.8438 |   0.6823 |   0.7154 |   3.00e-04 | SI
    14 |    0.542834 |   0.901486 |   0.7804 |   0.8744 |   0.7847 |   0.8132 |   3.00e-04 | SI
    15 |    0.512959 |   0.861321 |   0.7967 |   0.8463 |   0.7699 |   0.8043 |   3.00e-04 | 
    16 |    0.492376 |   0.823780 |   0.7966 |   0.8767 |   0.7767 |   0.8167 |   3.00e-04 | SI
    17 |    0.466542 |   0.788986 |   0.7336 |   0.8620 |   0.7580 |   0.7845 |   3.00e-04 | 
    18 |    0.448698 |   0.760540 |   0.7175 |   0.8709 |   0.7349 |   0.7744 |   3.00e-04 | 
    19 |    0.423402 |   0.720936 |   0.8022 |   0.8735 |   0.7910 |   0.8222 |   3.00e-04 | SI
    20 |    0.406938 |   0.678533 |   0.8258 |   0.8662 |   0.8061 |   0.8327 |   3.00e-04 | SI
    21 |    0.389476 |   0.646904 |   0.7609 |   0.8719 |   0.7707 |   0.8012 |   3.00e-04 | 
    22 |    0.366811 |   0.618907 |   0.7615 |   0.8061 |   0.7417 |   0.7697 |   3.00e-04 | 
    23 |    0.350181 |   0.579137 |   0.8463 |   0.8743 |   0.7974 |   0.8393 |   3.00e-04 | SI
    24 |    0.335192 |   0.554730 |   0.8417 |   0.8752 |   0.8033 |   0.8401 |   3.00e-04 | SI
    25 |    0.330432 |   0.540662 |   0.8441 |   0.8438 |   0.7854 |   0.8244 |   3.00e-04 | 
    26 |    0.305102 |   0.495340 |   0.8260 |   0.8740 |   0.8103 |   0.8368 |   3.00e-04 | 
    27 |    0.295703 |   0.451740 |   0.7974 |   0.8722 |   0.7659 |   0.8118 |   3.00e-04 | 
    28 |    0.275170 |   0.428642 |   0.8577 |   0.8788 |   0.8100 |   0.8488 |   3.00e-04 | SI
    29 |    0.248619 |   0.393118 |   0.8598 |   0.8843 |   0.8108 |   0.8516 |   3.00e-04 | SI
    30 |    0.237419 |   0.371574 |   0.8739 |   0.8809 |   0.8183 |   0.8577 |   3.00e-04 | SI
    31 |    0.226508 |   0.365372 |   0.8718 |   0.8781 |   0.8141 |   0.8547 |   3.00e-04 | 
    32 |    0.214360 |   0.329364 |   0.8702 |   0.8807 |   0.8197 |   0.8568 |   3.00e-04 | 
    33 |    0.202522 |   0.309607 |   0.8682 |   0.8860 |   0.8098 |   0.8547 |   3.00e-04 | 
    34 |    0.200237 |   0.296795 |   0.8648 |   0.8840 |   0.8136 |   0.8541 |   3.00e-04 | 
    35 |    0.193306 |   0.293446 |   0.8685 |   0.8273 |   0.8072 |   0.8344 |   3.00e-04 | 
    36 |    0.189724 |   0.273803 |   0.8775 |   0.8844 |   0.8246 |   0.8622 |   3.00e-04 | SI
    37 |    0.181037 |   0.256679 |   0.8668 |   0.8843 |   0.8140 |   0.8551 |   3.00e-04 | 
    38 |    0.174150 |   0.246510 |   0.8720 |   0.8757 |   0.8215 |   0.8564 |   3.00e-04 | 
